Match_ID,Team1,Team2,Team1_Strength,Team2_Strength,Team1_Form,Team2_Form,Venue,Weather,Toss_Winner,Toss_Decision,Home_Advantage,Winner
43,Royal Challengers Bengaluru,Delhi Capitals,70.57,71.2,100,88,Ekana Stadium,Dew,Delhi Capitals,Bat,7,Royal Challengers Bengaluru
44,Kolkata Knight Riders,Royal Challengers Bengaluru,71.5,70.57,71,80,Chinnaswamy Stadium,Humid,Royal Challengers Bengaluru,Bat,4,Royal Challengers Bengaluru
45,Rajasthan Royals,Sunrisers Hyderabad,72.07,72.04,49,54,Rajiv Gandhi Stadium,Cloudy,Rajasthan Royals,Bat,6,Sunrisers Hyderabad
46,Mumbai Indians,Chennai Super Kings,71.65,71.19,64,97,Wankhede Stadium,Dew,Chennai Super Kings,Bat,5,Chennai Super Kings
47,Chennai Super Kings,Royal Challengers Bengaluru,71.19,70.57,87,87,Chinnaswamy Stadium,Dew,Chennai Super Kings,Field,6,Chennai Super Kings
48,Chennai Super Kings,Sunrisers Hyderabad,71.19,72.04,93,69,Chepauk,Sunny,Sunrisers Hyderabad,Bat,1,Chennai Super Kings
49,Lucknow Super Giants,Kolkata Knight Riders,73.13,71.5,64,60,Chinnaswamy Stadium,Dew,Kolkata Knight Riders,Field,6,Kolkata Knight Riders
50,Rajasthan Royals,Punjab Kings,72.07,70.57,41,87,Wankhede Stadium,Humid,Rajasthan Royals,Bat,10,Punjab Kings
51,Lucknow Super Giants,Sunrisers Hyderabad,73.13,72.04,55,48,Ekana Stadium,Sunny,Lucknow Super Giants,Field,4,Lucknow Super Giants
52,Rajasthan Royals,Sunrisers Hyderabad,72.07,72.04,59,46,Wankhede Stadium,Humid,Sunrisers Hyderabad,Field,3,Sunrisers Hyderabad
53,Rajasthan Royals,Kolkata Knight Riders,72.07,71.5,94,83,Eden Gardens,Sunny,Kolkata Knight Riders,Field,10,Kolkata Knight Riders
54,Chennai Super Kings,Punjab Kings,71.19,70.57,46,67,Arun Jaitley Stadium,Dew,Chennai Super Kings,Field,2,Punjab Kings
55,Royal Challengers Bengaluru,Punjab Kings,70.57,70.57,69,67,Narendra Modi Stadium,Humid,Royal Challengers Bengaluru,Bat,4,Royal Challengers Bengaluru
56,Gujarat Titans,Chennai Super Kings,70.1,71.19,61,41,Ekana Stadium,Humid,Gujarat Titans,Field,3,Gujarat Titans
57,Gujarat Titans,Kolkata Knight Riders,70.1,71.5,75,40,Chinnaswamy Stadium,Sunny,Gujarat Titans,Field,7,Gujarat Titans
58,Punjab Kings,Gujarat Titans,70.57,70.1,90,41,Eden Gardens,Humid,Punjab Kings,Field,3,Punjab Kings
59,Royal Challengers Bengaluru,Delhi Capitals,70.57,71.2,67,87,Arun Jaitley Stadium,Humid,Delhi Capitals,Field,4,Delhi Capitals
60,Rajasthan Royals,Royal Challengers Bengaluru,72.07,70.57,100,88,Chepauk,Cloudy,Rajasthan Royals,Field,4,Rajasthan Royals
61,Kolkata Knight Riders,Rajasthan Royals,71.5,72.07,93,52,Narendra Modi Stadium,Cloudy,Rajasthan Royals,Bat,4,Rajasthan Royals
62,Lucknow Super Giants,Royal Challengers Bengaluru,73.13,70.57,58,84,Chepauk,Dew,Lucknow Super Giants,Bat,9,Royal Challengers Bengaluru
63,Lucknow Super Giants,Kolkata Knight Riders,73.13,71.5,100,95,Ekana Stadium,Sunny,Lucknow Super Giants,Field,7,Kolkata Knight Riders
64,Sunrisers Hyderabad,Kolkata Knight Riders,72.04,71.5,45,55,Eden Gardens,Dew,Sunrisers Hyderabad,Field,7,Sunrisers Hyderabad
65,Chennai Super Kings,Kolkata Knight Riders,71.19,71.5,76,79,Wankhede Stadium,Sunny,Chennai Super Kings,Bat,4,Chennai Super Kings
66,Rajasthan Royals,Sunrisers Hyderabad,72.07,72.04,40,66,Ekana Stadium,Dew,Sunrisers Hyderabad,Bat,3,Sunrisers Hyderabad
67,Rajasthan Royals,Mumbai Indians,72.07,71.65,99,56,Chinnaswamy Stadium,Dew,Rajasthan Royals,Bat,10,Rajasthan Royals
68,Lucknow Super Giants,Sunrisers Hyderabad,73.13,72.04,90,59,Narendra Modi Stadium,Dew,Lucknow Super Giants,Field,4,Lucknow Super Giants
69,Punjab Kings,Gujarat Titans,70.57,70.1,45,78,Wankhede Stadium,Dew,Gujarat Titans,Field,0,Gujarat Titans
70,Gujarat Titans,Lucknow Super Giants,70.1,73.13,88,83,Narendra Modi Stadium,Sunny,Gujarat Titans,Field,8,Lucknow Super Giants
71,Gujarat Titans,Chennai Super Kings,70.1,71.19,80,92,Ekana Stadium,Sunny,Chennai Super Kings,Field,6,Chennai Super Kings
72,Delhi Capitals,Chennai Super Kings,71.2,71.19,84,71,Narendra Modi Stadium,Dew,Delhi Capitals,Field,1,Delhi Capitals
73,Chennai Super Kings,Royal Challengers Bengaluru,71.19,70.57,92,40,Ekana Stadium,Dew,Chennai Super Kings,Bat,8,Chennai Super Kings
74,Lucknow Super Giants,Mumbai Indians,73.13,71.65,57,75,Chepauk,Humid,Mumbai Indians,Field,1,Mumbai Indians
75,Sunrisers Hyderabad,Kolkata Knight Riders,72.04,71.5,75,40,Rajiv Gandhi Stadium,Sunny,Sunrisers Hyderabad,Bat,7,Sunrisers Hyderabad
76,Kolkata Knight Riders,Royal Challengers Bengaluru,71.5,70.57,85,57,Rajiv Gandhi Stadium,Dew,Royal Challengers Bengaluru,Bat,7,Kolkata Knight Riders
77,Royal Challengers Bengaluru,Sunrisers Hyderabad,70.57,72.04,95,44,Narendra Modi Stadium,Dew,Sunrisers Hyderabad,Field,0,Royal Challengers Bengaluru
78,Punjab Kings,Sunrisers Hyderabad,70.57,72.04,68,74,Ekana Stadium,Humid,Sunrisers Hyderabad,Field,7,Punjab Kings
79,Mumbai Indians,Chennai Super Kings,71.65,71.19,54,94,Rajiv Gandhi Stadium,Sunny,Chennai Super Kings,Field,6,Chennai Super Kings
80,Sunrisers Hyderabad,Punjab Kings,72.04,70.57,42,48,Arun Jaitley Stadium,Sunny,Punjab Kings,Bat,8,Punjab Kings
81,Sunrisers Hyderabad,Rajasthan Royals,72.04,72.07,70,90,Narendra Modi Stadium,Humid,Rajasthan Royals,Bat,5,Rajasthan Royals
82,Delhi Capitals,Punjab Kings,71.2,70.57,95,74,Wankhede Stadium,Sunny,Delhi Capitals,Field,3,Delhi Capitals
83,Rajasthan Royals,Punjab Kings,72.07,70.57,50,84,Narendra Modi Stadium,Sunny,Rajasthan Royals,Field,0,Punjab Kings
84,Royal Challengers Bengaluru,Chennai Super Kings,70.57,71.19,76,83,Chepauk,Cloudy,Royal Challengers Bengaluru,Bat,9,Chennai Super Kings
85,Gujarat Titans,Sunrisers Hyderabad,70.1,72.04,54,69,Narendra Modi Stadium,Dew,Sunrisers Hyderabad,Bat,7,Sunrisers Hyderabad
86,Punjab Kings,Delhi Capitals,70.57,71.2,77,59,Rajiv Gandhi Stadium,Humid,Delhi Capitals,Field,3,Delhi Capitals
87,Chennai Super Kings,Delhi Capitals,71.19,71.2,76,58,Narendra Modi Stadium,Sunny,Delhi Capitals,Field,0,Delhi Capitals
88,Lucknow Super Giants,Punjab Kings,73.13,70.57,93,97,Narendra Modi Stadium,Cloudy,Punjab Kings,Bat,10,Lucknow Super Giants
89,Sunrisers Hyderabad,Rajasthan Royals,72.04,72.07,97,80,Wankhede Stadium,Humid,Rajasthan Royals,Bat,9,Sunrisers Hyderabad
90,Delhi Capitals,Chennai Super Kings,71.2,71.19,51,52,Chepauk,Humid,Chennai Super Kings,Bat,4,Chennai Super Kings
91,Kolkata Knight Riders,Delhi Capitals,71.5,71.2,91,47,Ekana Stadium,Sunny,Kolkata Knight Riders,Bat,10,Kolkata Knight Riders
92,Royal Challengers Bengaluru,Delhi Capitals,70.57,71.2,45,90,Rajiv Gandhi Stadium,Sunny,Delhi Capitals,Bat,7,Delhi Capitals
93,Chennai Super Kings,Delhi Capitals,71.19,71.2,46,83,Chinnaswamy Stadium,Dew,Chennai Super Kings,Field,9,Chennai Super Kings
94,Kolkata Knight Riders,Chennai Super Kings,71.5,71.19,47,48,Wankhede Stadium,Sunny,Chennai Super Kings,Field,1,Chennai Super Kings
95,Punjab Kings,Delhi Capitals,70.57,71.2,82,100,Rajiv Gandhi Stadium,Cloudy,Delhi Capitals,Bat,7,Delhi Capitals
96,Delhi Capitals,Mumbai Indians,71.2,71.65,68,68,Chinnaswamy Stadium,Humid,Delhi Capitals,Field,8,Mumbai Indians
97,Kolkata Knight Riders,Mumbai Indians,71.5,71.65,47,100,Ekana Stadium,Sunny,Kolkata Knight Riders,Bat,0,Mumbai Indians
98,Gujarat Titans,Mumbai Indians,70.1,71.65,44,93,Chinnaswamy Stadium,Cloudy,Gujarat Titans,Field,2,Mumbai Indians
99,Sunrisers Hyderabad,Gujarat Titans,72.04,70.1,74,56,Chepauk,Sunny,Sunrisers Hyderabad,Bat,0,Sunrisers Hyderabad
100,Lucknow Super Giants,Sunrisers Hyderabad,73.13,72.04,56,43,Chepauk,Dew,Lucknow Super Giants,Bat,7,Lucknow Super Giants
101,Punjab Kings,Royal Challengers Bengaluru,70.57,70.57,54,100,Wankhede Stadium,Humid,Royal Challengers Bengaluru,Bat,0,Royal Challengers Bengaluru
102,Rajasthan Royals,Punjab Kings,72.07,70.57,85,98,Ekana Stadium,Sunny,Rajasthan Royals,Field,9,Rajasthan Royals
103,Gujarat Titans,Royal Challengers Bengaluru,70.1,70.57,85,60,Rajiv Gandhi Stadium,Humid,Royal Challengers Bengaluru,Field,1,Gujarat Titans
104,Royal Challengers Bengaluru,Mumbai Indians,70.57,71.65,67,68,Chinnaswamy Stadium,Dew,Mumbai Indians,Field,6,Mumbai Indians
105,Kolkata Knight Riders,Delhi Capitals,71.5,71.2,49,83,Ekana Stadium,Sunny,Kolkata Knight Riders,Bat,1,Delhi Capitals
106,Sunrisers Hyderabad,Royal Challengers Bengaluru,72.04,70.57,43,77,Arun Jaitley Stadium,Sunny,Royal Challengers Bengaluru,Field,10,Sunrisers Hyderabad
107,Lucknow Super Giants,Kolkata Knight Riders,73.13,71.5,78,59,Arun Jaitley Stadium,Sunny,Lucknow Super Giants,Bat,10,Kolkata Knight Riders
108,Royal Challengers Bengaluru,Delhi Capitals,70.57,71.2,47,88,Narendra Modi Stadium,Cloudy,Delhi Capitals,Bat,9,Delhi Capitals
109,Sunrisers Hyderabad,Kolkata Knight Riders,72.04,71.5,84,88,Narendra Modi Stadium,Humid,Kolkata Knight Riders,Bat,2,Kolkata Knight Riders
110,Sunrisers Hyderabad,Lucknow Super Giants,72.04,73.13,45,87,Chinnaswamy Stadium,Dew,Lucknow Super Giants,Field,5,Lucknow Super Giants
111,Gujarat Titans,Rajasthan Royals,70.1,72.07,96,43,Chepauk,Cloudy,Gujarat Titans,Bat,4,Gujarat Titans
112,Chennai Super Kings,Kolkata Knight Riders,71.19,71.5,53,88,Eden Gardens,Humid,Kolkata Knight Riders,Bat,4,Kolkata Knight Riders
113,Kolkata Knight Riders,Lucknow Super Giants,71.5,73.13,54,65,Wankhede Stadium,Sunny,Kolkata Knight Riders,Field,3,Lucknow Super Giants
114,Rajasthan Royals,Lucknow Super Giants,72.07,73.13,71,87,Rajiv Gandhi Stadium,Cloudy,Rajasthan Royals,Field,8,Rajasthan Royals
115,Delhi Capitals,Rajasthan Royals,71.2,72.07,65,95,Wankhede Stadium,Dew,Delhi Capitals,Field,1,Delhi Capitals
116,Chennai Super Kings,Kolkata Knight Riders,71.19,71.5,47,65,Wankhede Stadium,Humid,Chennai Super Kings,Field,5,Kolkata Knight Riders
117,Gujarat Titans,Chennai Super Kings,70.1,71.19,73,45,Rajiv Gandhi Stadium,Humid,Chennai Super Kings,Bat,5,Gujarat Titans
118,Royal Challengers Bengaluru,Gujarat Titans,70.57,70.1,52,97,Arun Jaitley Stadium,Humid,Royal Challengers Bengaluru,Bat,1,Gujarat Titans
119,Rajasthan Royals,Sunrisers Hyderabad,72.07,72.04,100,89,Ekana Stadium,Dew,Sunrisers Hyderabad,Field,10,Sunrisers Hyderabad
120,Kolkata Knight Riders,Gujarat Titans,71.5,70.1,77,43,Arun Jaitley Stadium,Sunny,Gujarat Titans,Field,7,Gujarat Titans
121,Rajasthan Royals,Royal Challengers Bengaluru,72.07,70.57,64,69,Wankhede Stadium,Dew,Rajasthan Royals,Field,9,Royal Challengers Bengaluru
122,Rajasthan Royals,Delhi Capitals,72.07,71.2,85,45,Chepauk,Sunny,Rajasthan Royals,Field,7,Rajasthan Royals
123,Kolkata Knight Riders,Chennai Super Kings,71.5,71.19,66,89,Arun Jaitley Stadium,Sunny,Chennai Super Kings,Bat,5,Chennai Super Kings
124,Gujarat Titans,Sunrisers Hyderabad,70.1,72.04,61,45,Chepauk,Humid,Sunrisers Hyderabad,Field,2,Sunrisers Hyderabad
125,Chennai Super Kings,Delhi Capitals,71.19,71.2,92,48,Eden Gardens,Dew,Delhi Capitals,Bat,5,Delhi Capitals
126,Punjab Kings,Mumbai Indians,70.57,71.65,54,48,Chepauk,Sunny,Mumbai Indians,Bat,8,Punjab Kings
127,Lucknow Super Giants,Delhi Capitals,73.13,71.2,96,89,Chepauk,Dew,Lucknow Super Giants,Bat,2,Lucknow Super Giants
128,Sunrisers Hyderabad,Punjab Kings,72.04,70.57,42,66,Arun Jaitley Stadium,Cloudy,Punjab Kings,Field,7,Punjab Kings
129,Punjab Kings,Mumbai Indians,70.57,71.65,63,83,Ekana Stadium,Dew,Mumbai Indians,Field,8,Mumbai Indians
130,Gujarat Titans,Sunrisers Hyderabad,70.1,72.04,95,56,Wankhede Stadium,Dew,Sunrisers Hyderabad,Bat,8,Gujarat Titans
131,Kolkata Knight Riders,Punjab Kings,71.5,70.57,97,72,Chepauk,Dew,Kolkata Knight Riders,Bat,7,Kolkata Knight Riders
132,Chennai Super Kings,Royal Challengers Bengaluru,71.19,70.57,63,55,Rajiv Gandhi Stadium,Sunny,Royal Challengers Bengaluru,Bat,0,Royal Challengers Bengaluru
133,Delhi Capitals,Sunrisers Hyderabad,71.2,72.04,48,42,Narendra Modi Stadium,Dew,Delhi Capitals,Field,7,Sunrisers Hyderabad
134,Mumbai Indians,Sunrisers Hyderabad,71.65,72.04,75,100,Rajiv Gandhi Stadium,Sunny,Sunrisers Hyderabad,Bat,4,Sunrisers Hyderabad
135,Gujarat Titans,Punjab Kings,70.1,70.57,44,47,Ekana Stadium,Sunny,Gujarat Titans,Bat,4,Punjab Kings
136,Chennai Super Kings,Sunrisers Hyderabad,71.19,72.04,82,82,Eden Gardens,Humid,Chennai Super Kings,Bat,6,Chennai Super Kings
137,Delhi Capitals,Kolkata Knight Riders,71.2,71.5,87,41,Arun Jaitley Stadium,Sunny,Kolkata Knight Riders,Bat,10,Delhi Capitals
138,Delhi Capitals,Sunrisers Hyderabad,71.2,72.04,42,62,Arun Jaitley Stadium,Cloudy,Sunrisers Hyderabad,Field,10,Delhi Capitals
139,Punjab Kings,Lucknow Super Giants,70.57,73.13,58,52,Wankhede Stadium,Cloudy,Punjab Kings,Field,4,Punjab Kings
140,Kolkata Knight Riders,Lucknow Super Giants,71.5,73.13,88,81,Chinnaswamy Stadium,Humid,Lucknow Super Giants,Bat,10,Lucknow Super Giants
141,Chennai Super Kings,Punjab Kings,71.19,70.57,97,64,Arun Jaitley Stadium,Cloudy,Punjab Kings,Field,5,Chennai Super Kings
142,Chennai Super Kings,Rajasthan Royals,71.19,72.07,67,78,Chepauk,Humid,Rajasthan Royals,Bat,1,Rajasthan Royals
143,Chennai Super Kings,Sunrisers Hyderabad,71.19,72.04,84,68,Arun Jaitley Stadium,Dew,Chennai Super Kings,Field,9,Chennai Super Kings
144,Lucknow Super Giants,Rajasthan Royals,73.13,72.07,82,80,Rajiv Gandhi Stadium,Humid,Lucknow Super Giants,Bat,2,Lucknow Super Giants
145,Sunrisers Hyderabad,Rajasthan Royals,72.04,72.07,55,89,Arun Jaitley Stadium,Humid,Rajasthan Royals,Bat,9,Rajasthan Royals
146,Punjab Kings,Rajasthan Royals,70.57,72.07,76,48,Arun Jaitley Stadium,Dew,Rajasthan Royals,Field,3,Punjab Kings
147,Royal Challengers Bengaluru,Chennai Super Kings,70.57,71.19,98,75,Eden Gardens,Humid,Chennai Super Kings,Field,3,Royal Challengers Bengaluru
148,Punjab Kings,Mumbai Indians,70.57,71.65,47,48,Eden Gardens,Dew,Punjab Kings,Field,1,Punjab Kings
149,Delhi Capitals,Rajasthan Royals,71.2,72.07,75,74,Narendra Modi Stadium,Humid,Delhi Capitals,Bat,5,Delhi Capitals
150,Sunrisers Hyderabad,Mumbai Indians,72.04,71.65,90,71,Wankhede Stadium,Humid,Mumbai Indians,Field,8,Mumbai Indians
151,Chennai Super Kings,Punjab Kings,71.19,70.57,73,66,Rajiv Gandhi Stadium,Sunny,Chennai Super Kings,Field,10,Chennai Super Kings
152,Sunrisers Hyderabad,Royal Challengers Bengaluru,72.04,70.57,80,77,Chepauk,Cloudy,Royal Challengers Bengaluru,Bat,1,Royal Challengers Bengaluru
153,Mumbai Indians,Delhi Capitals,71.65,71.2,100,100,Narendra Modi Stadium,Sunny,Delhi Capitals,Bat,10,Mumbai Indians
154,Gujarat Titans,Royal Challengers Bengaluru,70.1,70.57,45,72,Chepauk,Cloudy,Gujarat Titans,Field,9,Royal Challengers Bengaluru
155,Gujarat Titans,Kolkata Knight Riders,70.1,71.5,81,53,Rajiv Gandhi Stadium,Sunny,Kolkata Knight Riders,Field,10,Gujarat Titans
156,Chennai Super Kings,Kolkata Knight Riders,71.19,71.5,69,44,Wankhede Stadium,Cloudy,Kolkata Knight Riders,Field,7,Kolkata Knight Riders
157,Delhi Capitals,Gujarat Titans,71.2,70.1,65,48,Arun Jaitley Stadium,Sunny,Gujarat Titans,Bat,7,Gujarat Titans
158,Lucknow Super Giants,Kolkata Knight Riders,73.13,71.5,100,64,Rajiv Gandhi Stadium,Cloudy,Lucknow Super Giants,Field,9,Lucknow Super Giants
159,Royal Challengers Bengaluru,Punjab Kings,70.57,70.57,71,96,Narendra Modi Stadium,Dew,Royal Challengers Bengaluru,Bat,6,Punjab Kings
160,Delhi Capitals,Lucknow Super Giants,71.2,73.13,43,58,Ekana Stadium,Dew,Lucknow Super Giants,Bat,1,Lucknow Super Giants
161,Chennai Super Kings,Delhi Capitals,71.19,71.2,42,65,Wankhede Stadium,Cloudy,Delhi Capitals,Field,1,Delhi Capitals
162,Gujarat Titans,Rajasthan Royals,70.1,72.07,48,46,Rajiv Gandhi Stadium,Humid,Rajasthan Royals,Field,2,Rajasthan Royals
163,Lucknow Super Giants,Gujarat Titans,73.13,70.1,48,85,Arun Jaitley Stadium,Dew,Gujarat Titans,Bat,9,Lucknow Super Giants
164,Delhi Capitals,Sunrisers Hyderabad,71.2,72.04,65,79,Narendra Modi Stadium,Humid,Sunrisers Hyderabad,Field,7,Delhi Capitals
165,Chennai Super Kings,Kolkata Knight Riders,71.19,71.5,90,97,Wankhede Stadium,Dew,Kolkata Knight Riders,Bat,0,Kolkata Knight Riders
166,Gujarat Titans,Chennai Super Kings,70.1,71.19,49,92,Chinnaswamy Stadium,Sunny,Gujarat Titans,Bat,0,Chennai Super Kings
167,Mumbai Indians,Chennai Super Kings,71.65,71.19,72,89,Ekana Stadium,Sunny,Mumbai Indians,Bat,8,Mumbai Indians
168,Delhi Capitals,Sunrisers Hyderabad,71.2,72.04,69,98,Arun Jaitley Stadium,Humid,Sunrisers Hyderabad,Field,3,Sunrisers Hyderabad
169,Kolkata Knight Riders,Gujarat Titans,71.5,70.1,85,53,Ekana Stadium,Humid,Gujarat Titans,Field,8,Gujarat Titans
170,Rajasthan Royals,Royal Challengers Bengaluru,72.07,70.57,64,97,Rajiv Gandhi Stadium,Humid,Rajasthan Royals,Field,0,Royal Challengers Bengaluru
171,Punjab Kings,Kolkata Knight Riders,70.57,71.5,87,70,Chinnaswamy Stadium,Cloudy,Kolkata Knight Riders,Field,2,Kolkata Knight Riders
172,Lucknow Super Giants,Royal Challengers Bengaluru,73.13,70.57,54,80,Chinnaswamy Stadium,Sunny,Lucknow Super Giants,Field,5,Lucknow Super Giants
173,Lucknow Super Giants,Royal Challengers Bengaluru,73.13,70.57,99,50,Rajiv Gandhi Stadium,Dew,Royal Challengers Bengaluru,Bat,4,Lucknow Super Giants
174,Rajasthan Royals,Mumbai Indians,72.07,71.65,74,87,Wankhede Stadium,Cloudy,Mumbai Indians,Bat,0,Mumbai Indians
175,Kolkata Knight Riders,Lucknow Super Giants,71.5,73.13,40,59,Eden Gardens,Humid,Lucknow Super Giants,Field,10,Kolkata Knight Riders
176,Royal Challengers Bengaluru,Punjab Kings,70.57,70.57,57,52,Eden Gardens,Humid,Royal Challengers Bengaluru,Field,10,Royal Challengers Bengaluru
177,Kolkata Knight Riders,Mumbai Indians,71.5,71.65,51,79,Rajiv Gandhi Stadium,Dew,Mumbai Indians,Bat,6,Mumbai Indians
178,Delhi Capitals,Mumbai Indians,71.2,71.65,40,56,Rajiv Gandhi Stadium,Cloudy,Mumbai Indians,Field,5,Mumbai Indians
