Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Unnamed:_5,Age,Age_Group,Role,Experience,Batting_Rating,Bowling_Rating,Fielding_Rating,Fitness,Overall_Rating
Gj Bailey,1982-09-07,Right Hand,Right-Arm Medium,Australia,,43.0,40+,Bowler,100,30,91,67,81,66.45
Gj Maxwell,1988-10-14,Right Hand,Right-Arm Offbreak,Australia,,37.0,36-40,All-Rounder,76,67,66,70,83,68.8
Gr Napier,1980-01-06,Right Hand,Right-Arm Medium,England,,45.0,40+,All-Rounder,100,74,79,82,63,79.0
Gs Sandhu,1993-06-14,Left Hand,Right-Arm Fast-Medium,Australia,,32.0,31-35,Bowler,56,63,88,71,91,73.65
Gurkeerat Singh,1990-06-29,Right Hand,Right-Arm Offbreak,India,,35.0,31-35,Bowler,68,64,93,72,89,77.0
H Brar,,Left Hand,Slow Left-Arm Orthodox,Unknown,,39.0,36-40,Bowler,84,65,80,84,66,75.05
H Das,1986-12-10,Right Hand,Unknown,India,,39.0,36-40,Wicket Keeper,84,87,38,98,78,70.75
H Gurney,,Right Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,All-Rounder,84,71,65,92,75,73.55
H Klaasen,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,79,41,95,61,67.7
H Vihari,,Right Hand,Right-Arm Offbreak,Unknown,,39.0,36-40,Bowler,84,44,79,76,66,66.15
H Viljoen,,Right Hand,Right-Arm Fast,Unknown,,39.0,36-40,Bowler,84,34,85,68,61,63.3
Harbhajan Singh,1980-07-03,Right Hand,Right-Arm Offbreak,India,,45.0,40+,Bowler,100,39,77,61,78,63.65
Harmeet Singh,1992-09-07,Left Hand,Slow Left-Arm Orthodox,India,,33.0,31-35,Bowler,60,62,77,60,77,67.5
Harmeet Singh (2),,Right Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,57,78,90,74,72.85
Harpreet Singh,1991-08-11,Left Hand,Right-Arm Medium,India,,34.0,31-35,All-Rounder,64,65,87,89,90,77.45
Hh Gibbs,2074-02-23,Right Hand,Right-Arm Bowler,South Africa,,39.0,36-40,Batter,84,85,41,79,63,67.5
Hh Pandya,1993-10-11,Right Hand,Right-Arm Medium-Fast,India,,32.0,31-35,Bowler,56,57,81,88,95,71.85
Hm Amla,1983-03-31,Right Hand,Right-Arm Offbreak,South Africa,,42.0,40+,All-Rounder,96,80,86,82,79,83.95
Hv Patel,1990-11-23,Right Hand,Right-Arm Medium,India,,35.0,31-35,Bowler,68,44,79,88,84,67.25
I Malhotra,1984-05-23,Right Hand,Right-Arm Medium-Fast,India,,41.0,40+,All-Rounder,92,70,78,73,79,75.9
I Sharma,1988-09-02,Right Hand,Right-Arm Fast-Medium,India,,37.0,36-40,All-Rounder,76,78,66,82,64,73.5
I Sodhi,,Right Hand,Legbreak Googly,Unknown,,39.0,36-40,Bowler,84,50,85,72,63,69.6
Ic Pandey,1989-08-15,Right Hand,Right-Arm Medium,India,,36.0,36-40,Bowler,72,44,94,63,86,69.25
Ik Pathan,1984-10-27,Left Hand,Left-Arm Medium-Fast,India,,41.0,40+,Bowler,92,50,76,72,68,67.5
Imran Tahir,1979-03-27,Right Hand,Legbreak Googly,India,,46.0,40+,Bowler,100,44,84,69,85,69.4
Iqbal Abdulla,1989-12-02,Left Hand,Slow Left-Arm Orthodox,India,,36.0,36-40,All-Rounder,72,85,67,94,83,78.65
Ir Jaggi,1989-01-27,Right Hand,Legbreak Googly,India,,36.0,36-40,Bowler,72,30,86,82,76,63.9
Ishan Kishan,1998-07-18,Left Hand,Unknown,India,,27.0,26-30,Wicket Keeper,36,87,39,95,93,66.6
J Archer,,Right Hand,Right-Arm Fast,Unknown,,39.0,36-40,Bowler,84,35,92,71,63,66.65
J Arunkumar,2075-01-18,Right Hand,Right-Arm Offbreak,India,,39.0,36-40,Bowler,84,57,95,79,63,76.6
J Bairstow,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,74,43,80,70,64.85
J Behrendorff,,Right Hand,Left-Arm Fast-Medium,Unknown,,39.0,36-40,All-Rounder,84,83,84,77,81,82.45
J Botha,1982-05-02,Right Hand,Right-Arm Offbreak,South Africa,,43.0,40+,All-Rounder,100,84,80,80,81,83.45
J Dala,,Unknown,Right-Arm Medium,Unknown,,39.0,36-40,Bowler,84,62,88,76,63,75.45
J Denly,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,79,17,81,66,57.45
J Searles,,Right Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,All-Rounder,84,88,88,75,76,85.05
J Suchith,1994-01-16,Left Hand,Slow Left-Arm Orthodox,India,,31.0,31-35,All-Rounder,52,69,84,88,88,76.35
J Syed Mohammad,1983-06-03,Left Hand,Slow Left-Arm Orthodox,India,,42.0,40+,Bowler,96,31,86,79,66,65.7
J Theron,1985-07-24,Right Hand,Right-Arm Medium-Fast,South Africa,,40.0,36-40,Bowler,88,53,75,60,68,66.0
J Yadav,1990-01-22,Right Hand,Right-Arm Offbreak,India,,35.0,31-35,Bowler,68,64,87,88,83,77.0
Ja Morkel,1981-06-10,Left Hand,Right-Arm Medium-Fast,South Africa,,44.0,40+,Bowler,100,32,79,67,85,63.15
Jaskaran Singh,1989-09-04,Right Hand,Right-Arm Medium,India,,36.0,36-40,Bowler,72,65,83,61,81,72.2
Jc Buttler,1990-09-08,Right Hand,Unknown,England,,35.0,31-35,Wicket Keeper,68,85,22,91,87,62.25
Jd Ryder,1984-08-06,Left Hand,Right-Arm Medium,New Zealand,,41.0,40+,All-Rounder,92,71,88,78,67,79.9
Jd Unadkat,1991-10-18,Right Hand,Left-Arm Medium,India,,34.0,31-35,Bowler,64,54,96,68,81,73.15
Jdp Oram,1978-07-28,Left Hand,Right-Arm Fast-Medium,New Zealand,,47.0,40+,Bowler,100,47,90,83,81,74.45
Jds Neesham,1990-09-17,Left Hand,Right-Arm Medium,New Zealand,,35.0,31-35,Bowler,68,38,92,85,87,69.4
Je Taylor,1984-06-22,Right Hand,Right-Arm Fast,New Zealand,,41.0,40+,All-Rounder,92,66,82,79,67,76.2
Jec Franklin,1980-11-07,Left Hand,Left-Arm Medium,New Zealand,,45.0,40+,Bowler,100,64,94,86,74,81.9
Jh Kallis,2075-10-16,Right Hand,Right-Arm Fast-Medium,South Africa,,39.0,36-40,Bowler,84,39,83,76,76,66.3
Jj Bumrah,1993-12-06,Right Hand,Right-Arm Medium,India,,32.0,31-35,All-Rounder,56,80,83,79,83,78.65
Jj Roy,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,87,33,88,66,66.9
Jj Van Der Wath,1978-01-10,Right Hand,Right-Arm Medium-Fast,South Africa,,47.0,40+,All-Rounder,100,68,76,88,81,77.65
Jm Kemp,1977-10-02,Right Hand,Right-Arm Fast-Medium,South Africa,,48.0,40+,Bowler,100,61,96,82,84,81.45
Jo Holder,1991-11-05,Right Hand,Right-Arm Medium-Fast,West Indies,,34.0,31-35,Bowler,64,64,83,67,80,71.9
